PR_scbc,Total_Thermal_Efficiency_percent,SCBC_Net_Power_MW,ORC_Net_Power_MW,T9_Precooler_Outlet_C
2.2,42.12,242.02,10.48,79.03
2.3,42.53,244.19,10.77,79.53
2.4,42.85,245.92,11.04,80.03
2.5,43.12,247.32,11.28,80.53
2.6,43.33,248.27,11.48,81.03
2.7,43.50,249.13,11.68,81.53
2.8,43.63,249.74,11.88,82.03
2.9,43.73,250.08,12.06,82.53
3.0,43.80,250.40,12.24,83.03
3.1,43.85,250.46,12.40,83.53
3.2,43.87,250.49,12.55,84.03
3.3,43.86,250.60,12.70,84.53
3.4,43.84,250.38,12.83,85.03
3.5,43.82,250.08,12.97,85.53
3.6,43.78,249.77,13.10,86.03
3.7,43.73,249.38,13.22,86.53
3.8,43.67,248.82,13.33,87.03
3.9,43.60,248.29,13.45,87.53
4.0,43.52,247.75,13.56,88.03
