Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
1,1,513.9752,3.3219,129.9856,3.1189,0.395900,N/A,N/A,N/A
1,2,534.7656,2.6463,124.3383,3.2376,0.406800,N/A,N/A,N/A
1,3,573.4978,2.6336,125.8631,3.5100,0.424200,N/A,N/A,N/A
1,4,514.6713,3.4235,127.1284,3.9248,0.398700,N/A,N/A,N/A
1,5,598.8318,2.3965,129.8843,3.8571,0.429700,N/A,N/A,N/A
1,6,542.0697,3.6958,125.5391,3.3831,0.409000,N/A,N/A,N/A
1,7,577.9702,3.5059,106.0630,2.4688,0.415300,N/A,N/A,N/A
1,8,519.8337,3.2472,127.0997,3.4489,0.401100,N/A,N/A,N/A
1,9,565.3678,3.5616,101.2229,2.3581,0.406500,N/A,N/A,N/A
1,10,584.4585,3.8504,100.0286,2.9683,0.415700,N/A,N/A,N/A
1,11,504.5345,3.7246,108.5751,2.5724,0.383200,N/A,N/A,N/A
1,12,543.0287,3.2490,114.4812,3.4713,0.413200,N/A,N/A,N/A
1,13,520.4093,2.3412,111.7863,2.4691,0.392100,N/A,N/A,N/A
1,14,579.8457,2.6763,120.1531,2.3375,0.422000,N/A,N/A,N/A
1,15,557.8446,2.7733,116.5440,3.5400,0.419500,N/A,N/A,N/A
1,16,571.0646,3.4267,100.6524,3.2924,0.414100,N/A,N/A,N/A
1,17,597.0673,3.2433,116.3667,2.7824,0.435000,N/A,N/A,N/A
1,18,587.4013,2.7833,100.7205,2.8378,0.419200,N/A,N/A,N/A
1,19,548.2808,3.2410,102.8993,3.7047,0.406100,N/A,N/A,N/A
1,20,558.0013,3.7840,113.3355,3.6726,0.417900,N/A,N/A,N/A
1,21,538.9582,2.5499,127.2256,3.3487,0.407900,N/A,N/A,N/A
1,22,551.0975,2.2468,118.7188,3.9235,0.407200,N/A,N/A,N/A
1,23,543.3454,3.8566,101.5009,2.3093,0.391600,N/A,N/A,N/A
1,24,561.4318,3.2858,124.0975,3.6908,0.422700,N/A,N/A,N/A
1,25,503.3734,3.2775,108.2563,2.2390,0.385500,N/A,N/A,N/A
1,26,559.6275,3.1666,119.2370,2.4465,0.416300,N/A,N/A,N/A
1,27,589.0735,3.9029,109.8244,3.9331,0.433100,N/A,N/A,N/A
1,28,589.5855,2.8307,121.3075,3.2320,0.432100,N/A,N/A,N/A
1,29,525.4797,2.3947,122.6346,3.4386,0.399500,N/A,N/A,N/A
1,30,586.6842,3.7979,110.0596,3.2281,0.430000,N/A,N/A,N/A
1,31,530.7992,2.6131,104.9503,2.2974,0.392500,N/A,N/A,N/A
1,32,568.3517,2.2663,110.6970,2.9658,0.411300,N/A,N/A,N/A
1,33,555.6966,2.9506,120.1428,2.7155,0.415900,N/A,N/A,N/A
1,34,576.7200,2.8674,124.6940,2.3529,0.422600,N/A,N/A,N/A
1,35,534.7806,2.3450,116.8458,2.5637,0.398700,N/A,N/A,N/A
1,36,531.0783,2.3103,121.6420,2.6439,0.396700,N/A,N/A,N/A
1,37,572.1094,3.7576,119.8220,3.1705,0.423100,N/A,N/A,N/A
1,38,524.5328,3.8200,116.0784,3.2898,0.397600,N/A,N/A,N/A
1,39,558.8351,3.9063,111.1124,3.1581,0.414800,N/A,N/A,N/A
1,40,522.3043,2.4085,105.3052,3.7574,0.391100,N/A,N/A,N/A
1,41,572.6376,3.3052,107.7171,2.9123,0.416500,N/A,N/A,N/A
1,42,575.8231,3.3006,128.9911,3.6613,0.429300,N/A,N/A,N/A
1,43,531.2377,3.2343,107.8896,2.5635,0.402900,N/A,N/A,N/A
