Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
1,1,523.8066,2.2379,123.5744,2.6617,0.477680,0.391600,0.606800,N/A
1,2,505.4181,3.2439,129.1315,3.6149,0.483740,0.393900,0.618500,N/A
1,3,536.7979,2.2253,110.5946,2.9656,0.483020,0.397700,0.611000,N/A
1,4,554.6732,2.8731,105.9876,2.3195,0.498640,0.413000,0.627100,N/A
1,5,591.5796,3.9493,111.0689,3.1194,0.503520,0.421600,0.626400,N/A
1,6,594.6546,2.2210,125.4200,3.4199,0.501740,0.420500,0.623600,N/A
1,7,511.0599,3.2338,129.1282,2.7699,0.481980,0.393300,0.615000,N/A
1,8,524.2561,3.5361,110.3426,3.5178,0.489740,0.401500,0.622100,N/A
1,9,506.2292,2.9454,124.3981,2.2618,0.477600,0.389000,0.610500,N/A
1,10,570.8414,2.7344,125.2413,3.5572,0.510160,0.424600,0.638500,N/A
1,11,559.4039,3.7804,119.7222,3.4248,0.503480,0.417600,0.632300,N/A
1,12,553.2719,2.5881,113.8139,2.5418,0.496580,0.411100,0.624800,N/A
1,13,571.6982,3.8639,127.8446,2.4645,0.502080,0.418000,0.628200,N/A
1,14,549.0870,2.2461,100.2455,2.4705,0.476600,0.394000,0.600500,N/A
1,15,542.2681,2.3622,114.4278,2.6862,0.488320,0.402800,0.616600,N/A
1,16,569.2687,2.2400,125.5417,2.3699,0.490300,0.407900,0.613900,N/A
1,17,527.5612,3.6216,118.5407,3.4433,0.490040,0.402200,0.621800,N/A
1,18,534.4927,3.6759,104.7827,2.2153,0.472560,0.388800,0.598200,N/A
1,19,511.3474,3.6130,120.9186,2.8133,0.477920,0.390000,0.609800,N/A
1,20,528.6307,2.3929,123.0509,3.2906,0.487500,0.400300,0.618300,N/A
1,21,508.6798,3.4110,105.2294,2.8023,0.467360,0.381000,0.596900,N/A
1,22,514.7649,2.3593,123.5835,2.9584,0.480000,0.392200,0.611700,N/A
1,23,516.7260,2.2407,103.0750,3.9125,0.480640,0.393000,0.612100,N/A
1,24,515.3613,2.3422,124.8159,2.5300,0.477440,0.390200,0.608300,N/A
1,25,503.5517,3.0070,116.6469,3.9616,0.485920,0.395400,0.621700,N/A
1,26,542.0920,2.7482,112.6680,3.3292,0.498900,0.411500,0.630000,N/A
1,27,550.9446,2.3463,125.0891,3.9188,0.496020,0.410300,0.624600,N/A
1,28,560.3976,2.8066,120.2776,3.0496,0.504800,0.418800,0.633800,N/A
1,29,575.8402,3.7159,110.4948,3.0555,0.509540,0.424700,0.636800,N/A
1,30,575.7397,2.4598,121.3386,3.5588,0.506140,0.421900,0.632500,N/A
1,31,578.3788,2.2311,128.0235,2.8458,0.495260,0.413100,0.618500,N/A
1,32,541.7521,3.5443,109.4597,2.6369,0.493000,0.406600,0.622600,N/A
1,33,568.1914,3.1491,113.4827,3.5379,0.511660,0.425500,0.640900,N/A
1,34,552.8178,2.4779,100.2013,2.7239,0.485340,0.401700,0.610800,N/A
1,35,585.1585,3.8662,106.5175,3.6513,0.502140,0.419700,0.625800,N/A
1,36,505.7159,2.3793,125.0562,3.6993,0.480360,0.391200,0.614100,N/A
1,37,508.2708,3.3273,127.9239,3.6734,0.484700,0.395100,0.619100,N/A
1,38,528.1282,3.9072,105.0503,3.5614,0.472640,0.388000,0.599600,N/A
1,39,543.4217,2.9173,112.1715,3.2328,0.500000,0.412600,0.631100,N/A
1,40,501.1198,2.2888,100.1632,3.8476,0.466440,0.379200,0.597300,N/A
1,41,596.4181,3.7892,121.8235,3.9512,0.521780,0.437500,0.648200,N/A
1,42,530.0416,3.3774,115.2135,3.2019,0.492520,0.404600,0.624400,N/A
1,43,550.0253,3.3773,104.6392,2.3199,0.484920,0.401000,0.610800,N/A
1,44,513.5376,3.1856,125.0919,3.7574,0.488900,0.399300,0.623300,N/A
1,45,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
1,46,557.1229,3.3360,106.2961,3.9262,0.496600,0.411600,0.624100,N/A
1,47,578.8885,3.2682,101.6679,2.6193,0.498740,0.416100,0.622700,N/A
1,48,566.3742,2.9574,117.2727,3.4450,0.510120,0.424000,0.639300,N/A
1,49,595.2292,3.5130,116.8928,2.5282,0.515400,0.432000,0.640500,N/A
1,50,523.4944,3.1529,117.6201,3.0620,0.490340,0.401900,0.623000,N/A
2,1,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
