THETA_W_C,PR_ORC,Total_Thermal_Efficiency_percent,Total_Exergy_Efficiency_percent,SCBC_Net_Power_MW,ORC_Net_Power_MW,Total_Net_Power_MW,Carnot_Efficiency_percent
110,2.2,43.25,63.97,250.54,8.98,259.52,67.62
110,2.4,43.39,64.17,250.54,9.79,260.33,67.62
110,2.6,43.51,64.35,250.54,10.51,261.05,67.62
110,2.8,43.62,64.51,250.54,11.16,261.7,67.62
110,3.0,43.72,64.65,250.54,11.75,262.3,67.62
110,3.2,43.81,64.79,250.54,12.29,262.84,67.62
110,3.4,43.89,64.91,250.54,12.79,263.34,67.62
110,3.6,43.97,65.02,250.54,13.25,263.8,67.62
110,3.8,44.04,65.13,250.54,13.68,264.23,67.62
110,4.0,44.1,65.23,250.54,14.08,264.63,67.62
120,2.2,43.25,63.96,250.54,8.95,259.49,67.62
120,2.4,43.38,64.16,250.54,9.76,260.3,67.62
120,2.6,43.5,64.34,250.54,10.48,261.02,67.62
120,2.8,43.61,64.5,250.54,11.13,261.68,67.62
120,3.0,43.71,64.65,250.54,11.73,262.27,67.62
120,3.2,43.8,64.78,250.54,12.27,262.81,67.62
120,3.4,43.89,64.9,250.54,12.77,263.31,67.62
120,3.6,43.96,65.02,250.54,13.23,263.78,67.62
120,3.8,44.03,65.12,250.54,13.67,264.21,67.62
120,4.0,44.1,65.22,250.54,14.07,264.61,67.62
130,2.2,43.24,63.95,250.54,8.89,259.43,67.62
130,2.4,43.37,64.15,250.54,9.7,260.24,67.62
130,2.6,43.49,64.32,250.54,10.42,260.96,67.62
130,2.8,43.6,64.49,250.54,11.07,261.62,67.62
130,3.0,43.7,64.63,250.54,11.67,262.21,67.62
130,3.2,43.79,64.77,250.54,12.21,262.76,67.62
130,3.4,43.88,64.89,250.54,12.71,263.26,67.62
130,3.6,43.95,65.0,250.54,13.18,263.72,67.62
130,3.8,44.03,65.11,250.54,13.61,264.16,67.62
130,4.0,44.09,65.21,250.54,14.02,264.56,67.62
